,0
1993-01-29,0.0
1993-02-26,0.0
1993-03-31,0.0
1993-04-30,0.0
1993-05-28,0.0
1993-06-30,0.0
1993-07-30,0.0
1993-08-31,0.0
1993-09-30,0.0
1993-10-29,0.0
1993-11-30,0.0
1993-12-31,0.0
1994-01-31,0.001309671500538104
1994-02-28,0.00017467375262660934
1994-03-31,7.908923665417667e-05
1994-04-29,6.90817589680095e-05
1994-05-31,1.912563720342253e-05
1994-06-30,5.8042406835894344e-05
1994-07-29,6.83935400361918e-05
1994-08-31,4.0445366635472934e-05
1994-09-30,2.4899772238845542e-05
1994-10-31,6.753046741599833e-05
1994-11-30,4.5598939210220846e-05
1994-12-30,0.0018573500989445438
1995-01-31,7.389552685123302e-05
1995-02-28,0.0020634453207266537
1995-03-31,2.9285776178989088e-05
1995-04-28,5.9323597093979384e-05
1995-05-31,0.00010337163697986207
1995-06-30,4.796698246957832e-06
1995-07-31,1.2081514418513573e-05
1995-08-31,9.834502982813076e-05
1995-09-29,4.727271564574642e-05
1995-10-31,1.7087460212301675e-06
1995-11-30,5.753333021203178e-06
1995-12-29,8.142712502639227e-05
1996-01-31,7.880342992743005e-05
1996-02-29,8.138155548603854e-05
1996-03-29,0.00011328824420565986
1996-04-30,1.0495288614144282e-05
1996-05-31,9.962389680445715e-07
1996-06-28,5.31589939912932e-05
1996-07-31,0.0001392674106925088
1996-08-30,1.1798194144258422e-05
1996-09-30,3.432973487722024e-05
1996-10-31,3.9054096122553286e-05
1996-11-29,3.292915159907228e-05
1996-12-31,8.739678276430251e-05
1997-01-31,8.703166721534373e-06
1997-02-28,3.6886620887301546e-05
1997-03-31,6.098112874703421e-05
1997-04-30,7.479579830826955e-05
1997-05-30,4.983637355510884e-06
1997-06-30,4.130869484318955e-06
1997-07-31,2.664783143629501e-06
1997-08-29,3.844327431389816e-05
1997-09-30,4.433541983598133e-06
1997-10-31,0.00014105025101506706
1997-11-28,1.9246783029099156e-05
1997-12-31,2.240205620706792e-05
1998-01-30,9.883021044588491e-06
1998-02-27,3.799295199203817e-05
1998-03-31,4.7033080193946144e-05
1998-04-30,1.8904619726923256e-05
1998-05-29,2.3533316549528062e-05
1998-06-30,2.081448990117629e-05
1998-07-31,3.8914131463778645e-06
1998-08-31,0.00014776910815917583
1998-09-30,5.934832947247731e-05
1998-10-30,2.0574738302763796e-06
1998-11-30,2.3339717956130766e-05
1998-12-31,1.3003069897404407e-05
1999-01-29,4.96668511414261e-06
1999-02-26,1.2017100628600618e-05
1999-03-31,1.124210970337447e-05
1999-04-30,1.5305651290330623e-05
1999-05-28,1.2811174507488199e-05
1999-06-30,3.0859161498224655e-05
1999-07-30,3.110439700375944e-05
1999-08-31,7.998043529141797e-06
1999-09-30,3.566271706455626e-06
1999-10-29,3.384737525909515e-05
1999-11-30,4.245770226604312e-05
1999-12-31,3.835580193260313e-05
2000-01-31,0.00011813953267200027
2000-02-29,3.6719707902579947e-06
2000-03-31,2.2404140862027965e-05
2000-04-28,4.738246063613055e-05
2000-05-31,7.832837427336759e-07
2000-06-30,3.087659346197475e-05
2000-07-31,2.0704485026080745e-05
2000-08-31,4.73181404631226e-05
2000-09-29,1.614556233214376e-05
2000-10-31,4.485239997516388e-05
2000-11-30,9.125298667752024e-07
2000-12-29,0.0008975083886227154
2001-01-31,1.4319496832387313e-06
2001-02-28,0.0008734258478043519
2001-03-30,0.0008467147814437888
2001-04-30,1.8058772544765124e-05
2001-05-31,0.00040038498684618934
2001-06-29,0.0008012550794226287
2001-07-31,0.000817594593838572
2001-08-31,0.0008610157917973211
2001-09-28,0.00010351753905963718
2001-10-31,1.854960936960137e-05
2001-11-30,3.616074734392682e-05
2001-12-31,0.0008557027360302846
2002-01-31,0.0008771674354955131
2002-02-28,0.0008878668008740526
2002-03-28,0.0010426256700787433
2002-04-30,0.0010695582991847182
2002-05-31,2.305898095659237e-05
2002-06-28,2.5445366484064814e-05
2002-07-31,0.0009788314345625555
2002-08-30,3.1631178493637225e-05
2002-09-30,0.0003944071482447971
2002-10-31,8.646198410575562e-05
2002-11-29,3.095615408587921e-05
2002-12-31,6.849417460886354e-05
2003-01-31,5.5156816696388e-05
2003-02-28,6.566474862363808e-05
2003-03-31,2.3494067077426183e-05
2003-04-30,6.287739889126953e-05
2003-05-30,6.955363164533795e-05
2003-06-30,7.715207005643171e-05
2003-07-31,0.004444105469318039
2003-08-29,0.00010594655603097214
2003-09-30,0.0024900843050896827
2003-10-31,0.002438783684403672
2003-11-28,4.3695945664413815e-05
2003-12-31,0.0009886021894028774
2004-01-30,0.0009744536489061704
2004-02-27,6.945313391690117e-05
2004-03-31,0.00011578965409449749
2004-04-30,0.0005140803973963801
2004-05-28,0.0023394367433070907
2004-06-30,4.475364256074158e-05
2004-07-30,0.002306576453916474
2004-08-31,6.358613726753212e-05
2004-09-30,4.129119570578169e-05
2004-10-29,5.4027047118192374e-05
2004-11-30,3.312755199461242e-05
2004-12-31,7.71448257369193e-05
2005-01-31,7.102940684240722e-05
2005-02-28,6.79391924178434e-05
2005-03-31,0.0014679706789409313
2005-04-29,0.001535620932071171
2005-05-31,2.0547893412111772e-05
2005-06-30,7.419374608152338e-05
2005-07-29,8.257818983749962e-05
2005-08-31,6.877488840969664e-05
2005-09-30,5.2792318002897275e-05
2005-10-31,0.00020747330858725884
2005-11-30,0.0005320381118415522
2005-12-30,7.832600432086595e-05
2006-01-31,0.00013306126549364846
2006-02-28,6.857563085477104e-05
2006-03-31,3.469344475662306e-05
2006-04-28,0.0036649288007629126
2006-05-31,0.00018403564420253966
2006-06-30,0.0002013220232465887
2006-07-31,4.692092915528006e-05
2006-08-31,0.00011648429031920066
2006-09-29,0.002976240428375246
2006-10-31,0.0010571873486587904
2006-11-30,5.052630008226833e-05
2006-12-29,0.0008586151915427727
2007-01-31,4.137823735274297e-05
2007-02-28,0.0010680393014575983
2007-03-30,0.0008430646057935988
2007-04-30,7.671984831028738e-05
2007-05-31,0.00018692774999345914
2007-06-29,0.0001545647044354904
2007-07-31,0.000132044101735129
2007-08-31,0.0001686051966967659
2007-09-28,0.0001075496934561121
2007-10-31,7.965790341444048e-05
2007-11-30,0.00016180727096927477
2007-12-31,0.00046661752914281996
2008-01-31,5.3163142987994294e-05
2008-02-29,0.0016102973861961086
2008-03-31,0.00041361527240473645
2008-04-30,8.179616641391702e-05
2008-05-30,7.09474631405922e-05
2008-06-30,6.76143743301029e-05
2008-07-31,7.386039031577451e-05
2008-08-29,0.00011039546927594504
2008-09-30,0.0016696600887817269
2008-10-31,0.0014647796448639882
2008-11-28,0.0007408052214852161
2008-12-31,0.00011754019720275242
2009-01-30,9.16516160349781e-05
2009-02-27,9.407513940310399e-05
2009-03-31,0.0004332476777670074
2009-04-30,3.529669431993422e-05
2009-05-29,6.73052163449278e-05
2009-06-30,0.0007518844280140031
2009-07-31,8.549381436534948e-05
2009-08-31,0.0010384210788946615
2009-09-30,0.0008899804201881036
2009-10-30,0.0008201076671445556
2009-11-30,0.0017218053518420796
2009-12-31,0.00010464836932950798
2010-01-29,0.0006254902402560358
