,TSMOM
1993-03-31,1.0
1993-04-30,1.0
1993-05-28,1.0
1993-06-30,1.0
1993-07-30,1.0
1993-08-31,1.0
1993-09-30,1.0
1993-10-29,1.0
1993-11-30,1.0
1993-12-31,1.0
1994-01-31,1.0
1994-02-28,0.9604955005611916
1994-03-31,0.9146481767506975
1994-04-29,0.925405028241621
1994-05-31,0.9398960593362975
1994-06-30,0.9182135070153741
1994-07-29,0.9462963348197629
1994-08-31,0.982893545202398
1994-09-30,0.9566219205986508
1994-10-31,0.9846577001992288
1994-11-30,0.946785323763983
1994-12-30,0.953076183482428
1995-01-31,0.9212403135395814
1995-02-28,0.8831061970757469
1995-03-31,0.9071286114711511
1995-04-28,0.9361285856497326
1995-05-31,0.9783941244683296
1995-06-30,0.9988007742576208
1995-07-31,1.0322393623536636
1995-08-31,1.0369552740914878
1995-09-29,1.0863857080836414
1995-10-31,1.0825841573757204
1995-11-30,1.1392204348898667
1995-12-29,1.1603987892752943
1996-01-31,1.205738944796374
1996-02-29,1.2095739853818834
1996-03-29,1.2290591111447209
1996-04-30,1.2399691549944816
1996-05-31,1.2635310088627045
1996-06-28,1.272876767617375
1996-07-31,1.2218054948274768
1996-08-30,1.2393401075435502
1996-09-30,1.2922452677194352
1996-10-31,1.3255650099395595
1996-11-29,1.40657088294987
1996-12-31,1.3773851672484005
1997-01-31,1.4439129813174532
1997-02-28,1.4545966678307178
1997-03-31,1.4072055293742032
1997-04-30,1.4667238824423068
1997-05-30,1.5224037538042619
1997-06-30,1.5603647213630925
1997-07-31,1.6348923171791938
1997-08-29,1.5836239911040033
1997-09-30,1.626732765716533
1997-10-31,1.604307010142846
1997-11-28,1.6302402657328632
1997-12-31,1.6439085189656015
1998-01-30,1.6536738860265214
1998-02-27,1.7078481354346164
1998-03-31,1.7503486211904613
1998-04-30,1.762758124888923
1998-05-29,1.7416066112703832
1998-06-30,1.786080410567669
1998-07-31,1.7720548294481147
1998-08-31,1.6260821068708344
1998-09-30,1.670927614804419
1998-10-30,1.7218129627451526
1998-11-30,1.7576923841950673
1998-12-31,1.8033736903961217
1999-01-29,1.8294343036440464
1999-02-26,1.8050443667610003
1999-03-31,1.8370289092902772
1999-04-30,1.867622303585991
1999-05-28,1.8481990680783498
1999-06-30,1.8959684611123928
1999-07-30,1.8666302724711539
1999-08-31,1.8614596697853851
1999-09-30,1.839119678755687
1999-10-29,1.9019666212430824
1999-11-30,1.9177219372947774
1999-12-31,1.976995650205296
2000-01-31,1.9197997458851466
2000-02-29,1.9060630327008836
2000-03-31,1.9921101716624732
2000-04-28,1.9610404888523767
2000-05-31,1.9487358041030292
2000-06-30,1.9639552733690746
2000-07-31,1.9507042450222216
2000-08-31,2.007820725393839
2000-09-29,1.9531178874717816
2000-10-31,1.948408784800748
2000-11-30,1.8803888388310377
2000-12-29,1.875806252637004
2001-01-31,1.8381473868987925
2001-02-28,1.914032781573482
2001-03-30,1.865102470154122
2001-04-30,1.7988087609891246
2001-05-31,1.8026894259855266
2001-06-29,1.8406882015827604
2001-07-31,1.8881778575130357
2001-08-31,1.920431701039949
2001-09-28,2.1165052863586404
2001-10-31,2.0509228821537047
2001-11-30,1.918367462920304
2001-12-31,1.8699680382170951
2002-01-31,1.8760028955384676
2002-02-28,1.9169302534866597
2002-03-28,1.9478282946786565
2002-04-30,1.8975648761171455
2002-05-31,1.8583950712745128
2002-06-28,1.8782747114155898
2002-07-31,1.831897574045673
2002-08-30,1.8298325122383368
2002-09-30,1.9509541510149118
2002-10-31,1.8353091054186186
2002-11-29,1.7100774769530287
2002-12-31,1.7972389608187769
2003-01-31,1.8563609822592493
2003-02-28,1.9030497092979104
2003-03-31,1.9182642458573034
2003-04-30,1.6894198498703117
2003-05-30,1.521223767596738
2003-06-30,1.4922317548778048
2003-07-31,1.421785800557375
2003-08-29,1.493195233008178
2003-09-30,1.6455672847743252
2003-10-31,1.7763122024741964
2003-11-28,1.8220883319306798
2003-12-31,1.9993746794504306
2004-01-30,2.0624388216469107
2004-02-27,2.164028057726972
2004-03-31,2.2086720662265185
2004-04-30,1.9302398008668233
2004-05-28,1.949154103827653
2004-06-30,1.9867054064325276
2004-07-30,1.877102490053605
2004-08-31,2.0007214254627774
2004-09-30,2.0963019076433436
2004-10-29,2.2017393610070273
2004-11-30,2.3068000550598184
2004-12-31,2.475276728348986
2005-01-31,2.4825298439085506
2005-02-28,2.540936102963741
2005-03-31,2.4018869790747215
2005-04-29,2.349077811354304
2005-05-31,2.490042241384493
2005-06-30,2.6007906080703576
2005-07-29,2.6556647808758296
2005-08-31,2.7772579160080464
2005-09-30,2.7568893429583596
2005-10-31,2.559145270850947
2005-11-30,2.7062443788299055
2005-12-30,2.874520029365066
2006-01-31,3.1009987122222076
2006-02-28,3.1028610027411174
2006-03-31,3.096035128845185
2006-04-28,3.199083690876533
2006-05-31,3.0238996590439906
2006-06-30,2.985876679971619
2006-07-31,2.897977878985458
2006-08-31,2.8174949547079615
2006-09-29,2.7549291498621353
2006-10-31,2.8810434906385227
2006-11-30,3.076603284533487
2006-12-29,3.0478031403746306
2007-01-31,3.06080186970669
2007-02-28,3.1710492694707013
2007-03-30,3.2413953063822154
2007-04-30,3.409183734989433
2007-05-31,3.386202013067131
2007-06-29,3.324895816266181
2007-07-31,3.3680185723892473
2007-08-31,3.462706590839546
2007-09-28,3.845392043700693
2007-10-31,4.178568234006947
